Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,(old)C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1 Coded,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.1_Actuation,C2.3.2_Haptic model?,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,(old)C2.5.2_DoF of haptic device (force feedback),C2.5.3_Physical_properties,XC2.5.4_Purpose,C2.5.4_Purpose,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,XC3.2_IVs description,XC3.1.2_IVs code(s),C3.2_IV,C3.2.1_Levels,"XC3.3.1_DVs: Performance, behavioral, and continuous measure",C3.3.1_DVs: Code Performance etc,XC3.3.2_DVs: self-reports,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,XC3.4.2_Are the hypotheses haptic-related?(repeated with 3.4.1),C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,XC3.6.2_Grouping method ,XC3.6.3_Users grouped together or with the experimenter,C4.1_Hypothesis supported,Concluding_statement,WJ_CS_code,J_CS_code,C4.2_Benefit_of_using_haptic_feedback_in_CVEs,XBenefit_code,C4.2_Benefit_code,C4.3_Limitation_of_using_haptic_feedback_in_CVEs,XLimitation_code,C4.3_Limitation_code,C4.4_Future_work,XFuture_work_code,C4.4_Future_work_code,XOthers
WJ,Network latency issue in cooperative shared haptic virtual environment,2003,"Halabi, Osama and Horiguchi, Susumu",https://doi.org/10.1117/12.497790,Synchronous,Remote: different rooms,2,Symmetric,Person,Shared experience,Screen (3DVE),Performance,Optimizing,Social touch,"Handshake task, Simple hand and arm geometric representation",Social touch,3,3 (translational),Pointer,3D Systems Geomagic Touch,PHANToM,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Social touch,,Symmetric,Bilateral,User,The paper studies the influences of the network delay on the quality of haptic and the performance in a CVE.,Study: latency,Different delay levels,Delay,Delay,Delay amounts,Task completion time,Performance: Time,Quality of feeling and haptic feedback consistent with visual feedback,Haptic experience,Constant,N/A,N/A,N/A,Within,5,10 participants paired together,Paired,With participants,N/A,Cooperative shared haptic virtual environments enable the users to feel each other while interacting over the network.,,Social touch,N/A,N/A,N/A,"Delay does not impact participants to complete handshake, but increases time and reduces realism.",Delay reduces collaborative performance and experience,Latency,N/A,N/A,N/A,Network latency < 10ms
WJ,Collaborative haptic environment assessment,2009,"Hamza-Lup, Felix and Lambeth, Benjamin and LaPlant, James",https://doi.org/10.1109/WHC.2009.4810903,Synchronous,Co-located,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,The goal of the task is to stack all four cubes onto a central stacking pedestal by lifting the cubes with haptic devices and maneuvering them into place.,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,Geomagic touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic ,3,3 (translational),Force,co-manipulation,,Symmetric,Bilateral,"User, Virtual object",The paper studies the effects of network latency on task performance,Study: latency,Network delay,,Delay,Delay amounts,"TCT, errors (number of breaks), performance (quality)","Performance: Time, Errors, Precision",Togetherness (a single subjective parameter),Social presence,Constant,N/A,N/A,N/A,,22,44 participants paired together,Paired,With participants,N/A,"Delay impairs collaboration, threshold found around 200ms",,"Delay, Performance",N/A,N/A,N/A,N/A,N/A,N/A,Adapt to more generic task,Test HC in more ecological setup,More ecological setup,
WJ,The evaluation of delay jitter for haptics collaboration over the Internet,2002,"Hikichi, Kenji and Morino, Hironao and Arimoto, I. and Sezaki, Kaoru and Yasuda, Y.",https://doi.org/10.1109/GLOCOM.2002.1188447,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Collaborators operate a virtual object (rigid body cube with no transformation) along an S-shaped track. Operating a virtual (rigid) object along an S-shaped track,Steering,2,2 (translational),Pointer,3D Systems Geomagic Touch,PHANToM,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Force feedback while co-manipulating,,Symmetric,Bilateral,Virtual object,The goal of this research is to clarify the quality of service requirement (network impairment) for a haptics collaboration system over the Internet.,Evaluation: system,Delay,,Delay,Delay amounts,NA,N/A,subjective score of operationality in MOS (Mean Opinion Score) 1-5,Usability,Constant,N/A,N/A,N/A,Within,15,15 participants paired with 1 experimenter,Single,With experimenter,N/A,The experiment result indicates that the tradeoff between low network delay and little delayjitter is also true for haptics.,,Delay,N/A,N/A,N/A,N/A,N/A,N/A,A perceptual study for compensation methods such as dead reckoning when facing network delay in CVE.,Techniques to overcome/compensate delay.,Overcome latency,
WJ,Collaborative haptic play with building blocks,2009,"Huang, Pingguo and Ishibashi, Yutaka and Fukushima, Norishige and Sugawara, Shinji",https://doi.org/10.1145/1690388.1690435,Synchronous,N/A,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,lift and move the blocks collaboratively  (work 1),Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,PHANToM Omni,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Force feedback from virtual objects and the other's movement.,,Symmetric,Bilateral,"User, Virtual object",The paper examines the influences of  network latency and packet loss on collaborative work which deals with multiple objects in a 3-D virtual space.,Study: latency,"Delay (constant, with standard deviation, with packet loss) and manipulation style (co-manipulate, individual, hand over in the half way)",Network delay and manipulation style,"Delay, Interaction technique","- Constant, with standard deviation, with packet loss
- Co-manipulate, individual, hand over in the half way",,N/A,"Participants judged the operability of their haptic interface device (5: Imperceptible, 4: Perceptible, but not annoying, 3: Slightly annoying, 2: Annoying, 1: Very annoying). --> mean opinion score (MOS)","Usability, Haptic experience",Constant,N/A,N/A,N/A,,10,20 participants paired together,Paired,With participants,N/A,"The paper found that the subjective rating of operatability decreased as the network delay increased. Co-manipulation received the best rating of operatability. However, these findings were descriptive without statistical models validating them.",,"Usability, Delay",N/A,N/A,N/A,N/A,N/A,N/A,The paper will investigate control methods to compensate/recover network delay,Techniques to overcome/compensate delay.,Overcome latency,
WJ,Effects of Haptic Data compression on user performance in Collaborative Haptic Virtual Environment,2014,"Huynh, Loi and Zadeh, Mehrdad",https://doi.org/10.1109/HAVE.2014.6954340,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: pointing,Move the object (Fitts's Law),Pointing,2,2 (translational),Pointer,3D Systems Geomagic Touch,PHANToM Omni,Off-the-shelf,Motor,(based on Hook's law and spring-damper model),Grounded,Hand,Kinesthetic,3,3 (constrainted to 2 translational),Force,Force feedback when co-manipulating objects,,Symmetric,Bilateral,"User, Virtual object","The goal of this study is to measure the effects of the haptic compression methods, statistical or perceptual techniques to render haptic signals when data communication creates heavy traffic, on user performance and perception.",Evaluation: interaction technique,"1) position-based haptic data vs. position-force haptic data
2) position-based haptic data with perceptual deadband
3) position-based haptic data with perceptual deadband and perceptual extrapolation",Haptic data compression,Haptic data compression,"1) position-based haptic data vs. position-force haptic data, 2) position-based haptic data with perceptual deadband, 3) position-based haptic data with perceptual deadband and perceptual extrapolation",Performance errof in the Fitts's Law,Performance: Errors,Report perception rating (0-100) A score of 100 indicates the maneuver of the haptic device goes smoothly and at ease.,Haptic experience,IV,N/A,N/A,N/A,,9,18 participants paired together,Paired,With participants,N/A,"First, we examined the effects of compression techniques PBHD and PFHD on user performance. It concludes that PBHD and PFHD do not have a significant difference in terms of user performance. Afterwards, the effects of PBHD perceptual deadbands on user performance were studied. According to the results, higher deadband values create more task errors in the CHVE. Finally, the results show that the effect of PE on user perception is positive. However, the task errors were increased.",,Performance,"Finally, the results show that the effect of PE (position extrapolation) on user perception is positive. ",The proposed technique reduces the effect of delay.,Artifact for haptic collaboration,"However, the task errors of PE method were increased.",The proposed technique increase error,Artifact,"Future work will focus on various estimation techniques that increase the power of the haptic compression method for different scenarios in a CHVE. In addition, rotation capturing to support action like drilling or sculpting will be implemented later on.",Explore the proposed technique in different sceanrios.,Application,Network latency: NA
WJ,Simultaneous remote haptic collaboration for assembling tasks,2007,"Iglesias, Rosa and Casado, Sara and Gutiérrez, Teresa and García‐Alonso, A. and Yu, Wai and Marshall, Alan",https://doi.org/10.1007/s00530-007-0108-7,Synchronous,Remote: different countries,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,Assemble parts in a shared VE,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,PHANToM Omni,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Represent assembling blocks,,Symmetric,Bilateral,Virtual object,This paper proposes a collaborative virtual environment with haptic devices for assembly tasks.,Evaluation: system,Delay ,Delay,Delay,Delay amounts,Positional discrepancies,Performance: Errors,NA,N/A,Constant,N/A,N/A,N/A,Within,5,10 participants paired together,Paired,With participants,N/A,The haptic feedback obtained during remote assemblies with dependent collisions can continue to improve the sense of co-presence between users with regard to only visual feedback.,,Social presence,The system of this paper has an advantage in that it does not need to store and manage a history of movements.,The proposed technique improves haptic collaboration.,Artifact for haptic collaboration,PHANToM Omni can be limited to display weights and collisions.,Limited haptic device,Insufficient haptic resolution,A future goal is to extend to more than 2 collaborators,Scale up the number of collaborators,Scalability,Average round trip Network latency 53 ms
WJ,HoloBots: Augmenting holographic telepresence with mobile robots for tangible remote collaboration in mixed reality,2023,"Ihara, Keiichi and Faridan, Mehrad and Ichikawa, Ayumi and Kawaguchi, Ikkaku and Suzuki, Ryo",https://doi.org/10.1145/3586183.3606727,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Shared workspace,AR,Performance,Optimizing,Social touch,The remote experimenter interacts with the participant,Notification,N/A (notification),N/A (notification),Real body,Mobile robots (Sony Toio),Mobile robots (Sony Toio),Off-the-shelf,Passive,,Mobile,Hand,Tactile,1,0,Touch,Allows the remote expert to contact the local participants,,Asymmetric,Unilateral,User,"The paper introduces HoloBots, a mixed reality remote collaboration system that augments holographic telepresence with synchronized mobile robots",Evaluation: system,"Hologram + Robots (haptic), Hologram (visual), robots (haptic)","Hologram, Robots, both",Feedback,"- Haptic+visual, visual, haptic",NA,N/A,"Social Presence, Cognitive Workload, Preference, SUS","Social presence, Workload, Preference, Usability",IV,N/A,N/A,N/A,,12,12 participants paired with 1 experimenter,Single,With experimenter,N/A,mobile robots improve the UX globally,,Social presence,holobots significantly increases copresence and shared experience,The proposed system improves haptic collaboration.,Artifact for haptic collaboration,"Scalability, user representation, robotic form factors",The proposed system cannot represent many users.,Scalability,"Force Aggregation: Combining multiple robots within a single shell could aggerate their force, enabling the remote user to move heavier objects for object actuation or provide stronger haptic feedback for haptic communication.",Explore Different haptic interaction,Increase the haptic resolution,
WJ,Validation of a Human Cooperative Steering Behavior Model Based on Differential Games,2019,"Inga, Jairo and Flad, Michael and Hohmann, Sören",https://doi.org/10.1109/smc.2019.8914574,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Cooperatively steer a virtual pointer along the track,Steering,2,2 (translational),Pointer,Steering wheel,Steering wheel,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,1,1 (rotational),Force,Keep the pointer follow the track (line),,Symmetric,Bilateral,User,The paper evaluates two control models for a human cooperative steering task.,Evaluation: interaction technique,"Two control models: differential game (DG, minimizing their individual cost function) and disturbance attenuation (DA, the control action of the cooperating partnet is assumed to be a known disturbance of the system)",Control method,Interaction technique (Ownership),"Differential game (DG, minimizing their individual cost function), disturbance attenuation (DA, the control action of the cooperating partnet is assumed to be a known disturbance of the system)",Trajectory,Performance: Precision,NA,N/A,Constant,The differential game (DG) model can approximate the steering angle and steering velocity trajectories better than the disturbance attenuation (DA) model.,The proposed interaction technique is better than the other approach.,No,,26,52 participants paired together,Paired,With participants,Yes,The results highlight the fact that the differential game model is able to describe cooperative behavior of all partners without the knowledge of the future behavior of one of them.,,Usability,Brings theoretical knowledge showing that a DG model suits better to joint haptic driving,The proposed system improves haptic collaboration.,Artifact for haptic collaboration,The measurement is computational demanding,Lack of measurement,Hard to measure,We will investigate the use of faster measures for differential games and the inclusion of submodels of the neuromuscular system of humans.,Use more measurements.,Measurement,
WJ,Inter-stream synchronization between haptic media and voice in collaborative virtual environments,2004,"Ishibashi, Yutaka and Kanbara, T. and Tasaka, Shuji",https://doi.org/10.1145/1027527.1027670,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation ,Move a rigid virtual cube in a VE,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,PHANToM,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Represent the touch of objects,,Symmetric,Bilateral,"User, Virtual object",The paper presents a synchronization algorithm for haptic media and voice in CVEs.,Evaluation: system,N/A,N/A,N/A,N/A,Position errors,Performance: Errors,NA,N/A,Constant,N/A,N/A,N/A,N/A,1,2 participants paired together,Paired,With participants,N/A,The algorithm can synchronize haptic and audio data.,,Usability,N/A,N/A,N/A,N/A,N/A,N/A,"Subjective measure, different task, voice and video.","Explore different media, include subjective measure.",Measurement,
WJ,Haptic Assistance Improves Tele-Manipulation With Two Asymmetric Slaves,2019,J. van Oosterhout and C. J. M. Heemskerk and H. Boessenkool and M. R. de Baar and F. C. T. v. d. Helm and D. A. Abbink,https://doi.org/10.1109/TOH.2018.2873350,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Tele-manipulating an object in a complex environment (construction site with heavy material) (Each person controls a different function). no audio,Steering,2,2 (translational),Pointer,Haption Virtuose 6D,Haption Virtuose 6D,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,6,6,Force,representing force when manipulating objects,,Symmetric,Bilateral,"User, Virtual object",The paper aims to contribute to improving time-efficiency and safe handling for remote maintenance tasks that require two asymmetric robots controlled by either one user or two cooperators.,Study: collaborator,"Between (uni- or multi-operators)
Within (with or without haptic assistant)",Haptic assistance + Operation mode,"Grouping, Feedback","- Haptic, no haptic
- Solo, paired","Completion time, movement erros","Performance: Time, Errors","NASA-TLX, usefulness and satisfaction acceptance scale (van der Laan et al., 97)","Workload, Usability, User experience",IV,"H1. Assistance with a haptic link between subtasks improves task performance, requires less control activity and subjective workload, and increases acceptance and safety for both co-operated and uni-manual tasks. 
H2. For uni-manual operators, haptic assistance improves task performance up to, or even beyond, the performance of the co-operators.",Haptic improves performance and experience,Yes,,45,45 participants single or paired together,"Paired + Single (n =15x2), between groups",With participants,Yes,Haptic assistance improves task execution for co-operators and uni-manual operators.,,Performance,"By haptically linking control actions through a joint task environment, this assistance system significantly improves task efficiency, reduces physical and mental workload, and enhances coordination, ultimately allowing a single operator to match the performance levels of a collaborative pair.",The proposed system improves haptic collaboration.,Artifact for haptic collaboration,"In haptic assitance, merging of forces could be confusing and difficult to interpret for the operator",Participants need to learn haptic collaboration.,Learning curve,"Future research should explore how to adapt the support path towards two co-operating operators, identify which paradigms is more beneficial for asymmetric subtasks, identify the level of situation awareness and analyse the effect of interface design and haptic assistance on it, and include tasks with real slave hardware.",Adapt the haptic support based on more measurements.,Measurement,Network latency: NA
WJ,Tele-Manipulation with Two Asymmetric Slaves: Two Operators Perform Better Than One,2018,J. van Oosterhout and C. J. M. Heemskerk and M. R. de Baar and F. C. T. van der Helm and D. A. Abbink,https://doi.org/10.1109/TOH.2017.2759108,Synchronous,Co-located,2,Asymmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,"The task consists of maneuvering the blue center axis of the load through the bounded path (left). At the bottom of the path, subjects encounter the mounting task (top right) where participants should place one of the lower axes in the hinge point while the load is tilted until it is upright and locked with a bolt. Robot end-effector",Steering,2,2 (translational),Pointer,Haption Virtuose 6D,Haption Virtuose 6D,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic ,6,6,Force,"co-manipulation, maneuvring, mounting, guidance, collision, contact and rigid body dynamics",,Asymmetric,Unilateral,"User, Environment","This experiment compares the standard approach of two co-operating operators that each control a single subtask, to a single operator performing bi-manual control over the two subtasks, and a uni-manual control approach.",Study: collaborator,"3 groups of participants (single user bimanual, single user unimanual, pairs of operators) + 2 subtasks (maneuvering and mounting)","(co, bi, uni) x (Maneuvering, Mounting)","Grouping, Task","- Single user bimanual, single user unimanual, pairs of operators 
- Maneuvering, mounting","tct : Task-completion time, Shortest distance to contact
sal : Spectral arc length [-], a quantification of movement smoothness based on the arc length along amplitude and frequency-normalized Fourier magnitude spectrum of the speed profile 
L: Trajectory length","Performance: Time, Score, Precision, Efficiency",NASA-TLX,Workload,Constant,"H1. Cooperators with reduced control > bi-manual
H2. Cooperators with reduced control < uni-manual",Grouped participants have better performance than when alone,No,,36,36 participants single or paired together,"18 pairs, and 18 single user (Between design)",With participants,Semi,"When controlling two asymmetric slaves, a co-operating pair of operators performs better than a single operator.",,Performance,not related to haptics : 2 user do better than 1,Cooperation is better than single user,Cooperation is better than single user,"Expertise, learning or adapt during cooperation",Participants need to learn haptic collaboration.,Learning curve,Future research can study control behavior.,Explore new techniques for HC,Collaborators,
WJ,Modeling the effects of delayed haptic and visual feedback in a collaborative virtual environment,2007,"Jay, Caroline and Glencross, Mashhuda and Hubbold, Roger",https://doi.org/10.1145/1275511.1275514,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: pointing,Reaching target together in the same depth.  no verbal communication,Pointing,3,3 (translational),Pointer,FCS HapticMASTER,FCS HapticMASTERs,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,"To notify the other collaborator that we are contacting,feedback touching virtual object",,Symmetric,Bilateral,User,This paper investigates the effects of network communication-induced latency in haptic and visual feedback from remote participants.,Study: latency,"10 levels of latency were assessed in the experiment: 0, 25, 50, 75, 100, 150, 200, 250, 300, and 400 ms.",Latency,Delay,"10 levels of latency were assessed in the experiment: 0, 25, 50, 75, 100, 150, 200, 250, 300, and 400 ms.","Movement times, error rates","Performance: Time, Errors","Rate on a scale of 1 to 10 how difficult they found the task, how disrupted they found the visual feedback to be, and how disrupted the haptic.","Ease, User experience, Haptic experience",Constant,"The hypothesis was thus that all measures of performance, whether haptic or visual, initiating or maintaining contact, actual task performance or users’ questionnaire ratings, would increase in direct proportion to the amount of latency.",Delay descreases the performance of haptic collaboration,no,,15,30 participants paired together,Paired,With participants,Yes,"While questionnaire ratings and movement time increased from 50 ms latency in a linear manner, the rror percentage rose steeply from 25 ms but stagnated after 100 ms.",,Performance,N/A,N/A,N/A,Haptic suffers from network delay more than visual ,Delay,Latency,Further work can examine the effects of the cross-modal interaction and the relationship between latency and task difficulty or type.,Explore other task under different delays,Application,
WJ,Assessment of Environmental Effects on Collaborative Haptic Guidance,2011,"Khademian, Behzad and Apkarian, Jacob and Hashtrudi-Zaad, Keyvan",https://doi.org/10.1162/PRES_a_00044,Synchronous,Co-located,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation,"Following 3D moving target, trainer, trainee)",Steering,2,2 (translational),Pointer,Pantograph,Quanser Planar Twin Pantograph,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (constrainted to 2 translational),Force,"For the trainer to instruct movements to trainees, based on the dominance factor.",,Symmetric,Bilateral,"User, Virtual object",This study investigates the effect of environmental factors (view points) on user performance,Study: viewpoint,View point; Path guidance; Dominance factor (of trainer); Path appearance,,"Environment appearance, Guidance",View point; Path guidance; Dominance factor (of trainer); Path appearance,"TCT, 
Trajectory errors, 
Applied force differences with trainer","Performance: Time, Errors
Behavior: Force applied",NA,N/A,Constant,"The environment factor and geometry have significant effects on the performane of haptic collaboration, and whether there is an interaction effect.",Haptic improves performance and experience,No,,10,10 participants paired with 1 experimenter,Single (as trainee),With experimenter,Semi,"The environment geometry, tracing circle took longer and created more error compared to tracing square. Changing the environment viewpoint from top to fraont decreases task time in tracing square. Our experiments did not reveal any significant correlation between the dominance factor and the users’ tracking performance.",,Performance,"Path appearance, Viewpoint, Force-feedback guidance from environment have an impact on performance, differently each. They interact somewhat",Haptic feedback improves collaborative performance and experiences,Improve performance,N/A,N/A,N/A,Future work can consider gradual attenuation of guidance forces.,Explore different guidance techniques,Collaborators,
WJ,Performance Issues in Collaborative Haptic Training,2007,"Khademian, Behzad and Hashtrudi-Zaad, Keyvan",https://doi.org/10.1109/ROBOT.2007.363975,Synchronous,Co-located,2,Asymmetric,Workspace,Remote expert,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,"Tracing a path, leading the slave robot to follow a 100 × 100mm square path.",Steering,2,2 (translational),Pointer,Pantograph,Planar Twin Pantograph,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,"trainer guiding trainee's movement,dragging",,Asymmetric,Unilateral,User,"The paper presents a control model for direct interaction between a trainer and a trainee, as well as between the users and the virtual environment.",Study: learning,Dominance factor: the control of trainer over the trainee's movement,Dominance factor,Guidance,The control of trainer over the trainee's movement,Error,Performance: Errors,NA,N/A,IV,N/A,N/A,N/A,,6,6 participants paired with 1 experimenter,Single,With experimenter,N/A,"The results show that when the alpha (dominance factor from the trainer) decreases, the performance error increases during the path tracing task.",,Performance,The paper argues the proposed control method can be used for surgical training.,Application,Application,N/A,N/A,N/A,Future work will focus on the use of filters rather than scalar for the dominance factor and the implementation of other haptic control architectures.,Explore the dominance dynamic between collaborators,Collaborators,Only reported descriptive stats. Network latency: NA
WJ,Transatlantic Touch: A Study of Haptic Collaboration over Long Distance,2004,"Kim, Jung and Kim, Hyun and Tay, Boon and Manivannan, M. and Srinivasan, Mandayam and Jordan, Joel and Mortensen, Jesper and Oliveira, Manuel and Slater, Mel",https://doi.org/10.1162/1054746041422370,Synchronous,Remote: different countries,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,Lifting a virtual box together under one of four conditions in a between-groups design.,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,PHANToM Desktop,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic ,3,3 (translational),Force,Allow to lift a virtual cube in a collaborative environment,,Symmetric,Bilateral,"User, Virtual object",Experiment to evaluate the use of haptics in a collaborative situation over a network,Study: communication modalities,presence or not of haptics x presence or not of direction visual feedback for the force,haptics x directional,Feedback,"- Haptic, no haptic
- Visual, no visual",- task performance (of self and confederate),Performance: Score,"- presence (in the environment)
- copresence (with the confederate)","Presence, Social presence",IV,N/A,N/A,N/A,Between,20,20 participants paired with 1 experimenter,Single,With experimenter,N/A,Haptics improve collaborative interaction.,,Social presence,Haptics is associated with an increase of the co-presence the use of direction probe reduces co-presence,Haptic feedback improves collaborative performance and experiences,Improve experience,Delay,Delay,Latency,Haptic interaction between humans and computers. A framework that guarantee stable connection in CVE with haptics.,Reduce delay,Overcome latency,
WJ,Collaborative Haptic Exploration of Dynamic Remote Environments,2018,"Kim, Seokyeol and Park, Jinah",https://doi.org/10.1109/MCG.2018.053491733,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation: pointing,The system tracks the remote expert's gesture to guide the other person's movements with a haptic device. The goal is to extract movement information from the expert to. Optimizing (path guidance) Maximizing (wiping / wund cleaning),Manipulating object,3,3 (translational),Pointer,Force Dimension Omega.7,Force Dimension Omega.7,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,4,4 (3 translational + 1 gripper),Force,"The remote expert guides the local user, feedback (draging, guidance)",,Asymmetric,Unilateral,User,This paper implements a prototype that offers stable haptic interaction with real-world spatial data and impromptu guidance from a remote partner.,Evaluation: system,"Different modalities for guidance (None, Visual, Haptic, V+H)",sensory modalities,Feedback,"None, visual, haptic, visual+haptic","Position Error, RT","Performance: Time, Errors",satisfication (1-5),User experience,IV,"H1. The proposed haptic guidance method increases the performance in remote exploration tasks than non-restrictive guidance.
H2. The proposed haptic guidance method increases the performance of remote exploration tasks when spatial information is visually limited or ambiguous than when it is visually clear.
H3. The proposed haptic guidance method increases the performance of remote exploration tasks when a target is moving than when it is static.",Haptic improves performance and experience,Yes,,17,17 participants paired with 1 experimenter,Single,With experimenter,Yes,We found significant improvement of task performance both in the path-following and the wiping task when haptic guidance was provided.,,"Performance, Haptic communication",Haptics can support when visual is missing.,Haptic feedback is an alternative communication when viusla is unavialable.,Alternative communication modality,The prototype only provides single point contact.,The proptotype has limited haptic feedback,Insufficient haptic resolution,Combining multiple haptic feedback (force + thermal) or multi-touch.,Explore more diverse haptic feedback,Increase the haptic resolution,Network latency: NA
WJ,QoE Assessment of Single-User Operation and Dual-User Operation in Remote Robot Systems with Force Feedback,2023,L. N. Gassama and Y. Ishibashi and P. Huang,https://doi.org/10.1109/ICCC59590.2023.10507618,Synchronous,Co-located,2,Symmetric,Object,Telepresence,Screen (RE),Performance,Optimizing,Object manipulation: pointing,carrying a wooden stick as the object between the two robots,Manipulating object,3,3 (translational),No visual representation,3D Systems Geomagic Touch,3D Systems Touch,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Manipulating the object,,Symmetric,Bilateral,"User, Virtual object",Is co controling a robot is more efficient subjectively and objectively for teleoperation task. What is the impact of teleoperation delay on this,Study: collaborator,one user or two user. Network delays from 0 to 600 ms (50ms step),,"Grouping, Delay","- Solo, paired
- Amount of delay",NA,N/A,Preference,Preference,Constant,N/A,N/A,N/A,Within,30,30 participants paired with 1 experimenter,Single,With experimenter,N/A,"As the network delay becomes larger, the dual-user operation is more largely superior to the single-user operation.",,"Delay, Performance","If one person is delayed, the cooperatiive model still allows the control of the second collaborator.",Cooperation is better than single user,Cooperation is better than single user,Requires a lots of hardware,Deployment is difficult,Hard-to-deploy,Investigate objective measures,Use more measurements.,Measurement,
WJ,Towards bare-hand interaction for whiteboard collaboration in virtual reality,2025,"Liu, Guangtian and Su, Haonan and Wang, Jingyu and Qi, Qi and Sun, Haifeng and Zhuang, Zirui and Ren, Pengfei and Liao, Jianxin",https://doi.org/10.1145/3711092,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Telepresence,VR,Performance,Optimizing,Mid-air touch,Teach selected topics  (teacher and learner),Mid-air gesture,N/A (mid-air gesture),N/A (mid-air gesture),Avatar,Custom,Physical whiteboard,Customized,Passive,,Prop,Hand,Passive,0,0,Touch,support writing,,Symmetric,No communication,Prop,The paper evaluates whether physical white board interaction can improve the efficiency of remote collaboration.,Evaluation: interaction technique,Different whiteboard interaction techniques,Mid-air haptic support,Interaction technique,Different whiteboard interaction techniques,Time ,Performance: Time,"SUS, NASA-TLX","Workload, Usability",IV,N/A,N/A,N/A,,16,32 participants paired together,Paired,With participants,N/A,Our user study indicates that Physical-writing achieves comparable performance to traditional whiteboard collaboration in terms of collaboration efficiency and outperforms Air-writing in terms of input accuracy and usability.,,"Performance, Usability",Lower workload,Haptic feedback improves collaborative performance and experiences,Improve performance and experience,Air writing may introduce fatigue. Size of the board can be limited,Fatigue,Fatigue,N/A,N/A,N/A,Only the third study is coded. Network latency < 30ms
