Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,C2.5.3_Physical_properties,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,C3.2_IV,C3.2.1_Levels,C3.3.1_DVs: Code Performance etc,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,C4.1_Hypothesis supported,Concluding statement,CS code,C4.2_Benefit of using haptic feedback in CVEs,Benefit_code,C4.3_Limitation of using haptic feedback in CVEs,Limitation_code,C4.4_Future work,Future_work_code
Collaborative metaphor for haptic designation in complex 3D environments,2014,"Girard, Adrien and Auvray, Malika and Ammi, Mehdi",https://doi.org/10.1145/2628257.2628262,Synchronous,Co-located,2,Asymmetric,Workspace,Remote expert,Screen (3DVE),Performance,Maximizing,Manipulating object,3,Pointer,PHANToM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetry,Unilateral,User,The paper presents a haptic guidance method to help a collaborator focus on a region of interest in CVE.,Evaluation: interaction technique,"Feedback, Task",#NAME?,"Performance: Time, Score",Haptic experience,IV,"H1. The haptic component of the metaphor reduces the global completion
time of the task.
H2. The haptic component of the metaphor reduces the reaction
time of the operator.
H3. The haptic component of the metaphor is more useful for tasks
involving numerous manipulations than tasks involving only
few manipulations.",Improve completion time/improve performance reduce mental load,,12,24 participants paired together,Semi,The results revealed the crucial role of the collaborative metaphor for an efficient and accurate designation of targets during the deformation procedure.,"Performance, Haptic communication",The collaborative haptic metaphor improve efficiency and accuracy without impacting completion time,Haptic feedback improves collaborative performance and experiences,N/A,N/A,The paper will study the role of the collaborative metaphor in the improvement of performance of tasks requiring the selection and the deformation of far regions.,Test the technique in different tasks.
Efficiency analysis in a collaborative task with reciprocal haptic feedback,2009,"Groten, Raphaela and Feth, Daniela and Peer, Angelika and Buss, Martin and Klatzky, Roberta",https://doi.org/10.1109/iros.2009.5354612,Synchronous,Co-located,2,Symmetric,Workspace,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,custom made,Customized,Grounded,Hand,Kinesthetic,1,Force,Symmetric,Bilateral,User,"The study compares efficiency in a collaborative mutual haptic feedback condition to three control conditions, where participants either acted alone or collaboratively without haptic feedback from the partner.",Study: collaboration,"Feedback, Grouping","Visual-haptic (with partner), visual (with partner), full-mass (alone), half-mass (alone)","Performance: Score, Efficiency, Effort",N/A,IV,N/A,N/A,,24,24 participants paired together,N/A,"The mutual haptic feedback condition required more effort
on a dyadic level than the vision feedback condition. herefore, hap-
tic feedback cannot be considered efficient in the present
interaction task. Compared to doing the task alone with
full mass, the vision-only interactive condition led to in-
creased efficiency. haptic feedback might not
always be of advantage. This is especially true when taking
into account the challenges from the engineering perspective.
However, haptic feedback leads to a fairer effort distribution
between the partners within a dyad compared to a vision-
only condition. ","Performance, Haptic communication",haptic feedback leads to a fairer effort distribution between the partners within a dyad compared to a vision-only condition. ,Haptic feedback improves collaborative performance and experiences,"high variability in efficiency when haptic feedback is given, due to the different amount of interactive forces per dyad, leads to the conclusion that haptic feedback might not always be of advantage. The mutual haptic feedback condition required more effort on a dyadic level than the vision feedback condition. This is because the partners apply interactive forces in addition to the forces necessary to move the object.",Participants need to learn the haptic collaboration. ,"In future, we will analyze more complex collaborative tasks, based on the assumption that with a higher need for communication between partners haptic feedback will lead to increased efficiency due to this feedback channel. Furthermore, we will investigate the forces exchanged between partners (especially interactive forces) over time to get further insights into haptic collaboration",Extend to complex tasks. Explore how collaborators reach a common ground.
"Exploring audio, visual, and tactile cues for synchronous remote assistance",2018,"Günther, Sebastian and Kratz, Sven and Avrahami, Daniel and Mühlhäuser, Max",https://doi.org/10.1145/3197768.3201568,Synchronous,Remote: different rooms,2,Asymmetric,Object,Remote expert,AR,Decision-making,Optimizing,Cummunicating,1,Real body,Custom tactile gloves (vibration),Customized,Wearable ,Hand,Vibrotactile,1,Vibration,Asymmetric,Unilateral,User,"The study explored different communication modalities (audio,visual and haptic) for remote assistance (remote expert guiding a local guy).",Study: communication modalities,Feedback,"voice-communication only, audio signals, augmented labels, and tactile feedback",Performance: Time,"Performance, Haptic experience, Collaboration, Preference",IV,N/A,N/A,Within,4,8 participants paired together,N/A,"While visual cues in form of augmented labels improved their
communication by identifying objects faster while reducing the
number of spoken words, participants thought that tactile and audio
cues are interesting concepts improving communication but need to
be more precise","Performance, Haptic communication",Tactile cue are intersting for their novelty and could be useful but in addition of other cues.,Haptic feedback can be an alternative for communication,mixed reception of haptic TCT lower than other cues. lack precision and not really clear guidance,lack of precision,"we want to elaborate how isolated cues can be further improved, especially in more realistic scenarios, such as a car-repair with noisy environments. Therefore, we also want to find out how other constraints affect the team work through additional communication regulations and rules. Further, we want to explore how combinations of multiple cues assist during collaborative tasks and how a system can select cues depending on the context of a task.",Test HC in more ecological setup
User's behaviours in a collaborative task - real vs. virtual environments,2016,H. H. Le and M. J. Loomes and R. C. V. Loureiro,https://doi.org/10.1109/BIOROB.2016.7523745,Synchronous,Co-located,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,Phantom Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,Virtual object,The paper investigates how different environments (real vs. virtual) and communication modalities (with vs. without talking to each other) affect the quality of interaction between humans,Study: communication modalities,Feedback,with/without Verbal,"Performance: Time, Effort
Behavior: Physical response, Force applied, Position",Motivation,Constant,"H1. The coordinated strategy improves the overall performance.
H2. The coordinated strategy improves the working efficiency.
H3. The coordinated strategy distributes the workload more evenly between the participants.",Guidance strategy affects performance,Within,12,24 participants paired together,Semi,"participants were more engaged
doing the collaborative task in the virtual environment using
haptic devices even though it was more difficult and
required them to put more effort than doing the same task in
the real world.","Social presence, Performance, Affect",Haptic interface render the experience more fun,Enhance experience,Task easier in real world than VR maybe because of haptic interaction,VE lacks haptic,"investigate the difference in terms of performance and engagement between virtual and real environments for different types of group interaction in motor learning, such as a cooperation task (users have different roles) and a completion task (users have different goals).",Explore different collaboration paradigm
Haptic Cooperative Virtual Workspace: Architecture and evaluation,2000,"Halabi, Osama and Horiguchi, S.",https://doi.org/10.1007/bf01409421,Synchronous,Co-located,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Social touch,3,Pointer,PHANTOM,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,Virtual object,Validation of an architecture for an haptic cooperative workspace where the participants can kinestheticaily interact.,Evaluation: system,Grouping,"Solo, Paired","Performance: Time, Errors
Behavior: Force applied",N/A,Constant,N/A,N/A,,2,2 participants paired together,N/A,"Using the proposed architecture, the system in cooperative mode provided up to 66% of the feeling that was produced by the single mode system",Usability,N/A,N/A,N/A,N/A,"Providing an evaluation approach for haptic systems will enable us to investigate the factors that increase the performance of the simulation independently and allow us to classify the haptic systems according to specific haptic devices and the nature
of the tasks undertaken.",The need to evaluate haptic systems.
Network latency issue in cooperative shared haptic virtual environment,2003,"Halabi, Osama and Horiguchi, Susumu",https://doi.org/10.1117/12.497790,Synchronous,Remote: different rooms,2,Symmetric,Person,Shared experience,Screen (3DVE),Performance,Optimizing,Social touch,3,Pointer,PHANToM,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,The paper studies the influences of the network delay on the quality of haptic and the performance in a CVE.,Study: latency,Delay,Delay amounts,Performance: Time,Haptic experience,Constant,N/A,N/A,Within,5,10 participants paired together,N/A,Cooperative shared haptic virtual environments enable the users to feel each other while interacting over the network.,Social touch,N/A,N/A,"Delay does not impact participants to complete handshake, but increases time and reduces realism.",Delay reduces collaborative performance and experience,N/A,N/A
Collaborative haptic environment assessment,2009,"Hamza-Lup, Felix and Lambeth, Benjamin and LaPlant, James",https://doi.org/10.1109/WHC.2009.4810903,Synchronous,Co-located,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,Geomagic touch,Off-the-shelf,Grounded,Hand,Kinesthetic ,3,Force,Symmetric,Bilateral,"User, Virtual object",The paper studies the effects of network latency on task performance,Study: latency,Delay,Delay amounts,"Performance: Time, Errors, Precision",Social presence,Constant,N/A,N/A,,22,44 participants paired together,N/A,"Delay impairs collaboration, threshold found around 200ms","Delay, Performance",N/A,N/A,N/A,N/A,Adapt to more generic task,Test HC in more ecological setup
The evaluation of delay jitter for haptics collaboration over the Internet,2002,"Hikichi, Kenji and Morino, Hironao and Arimoto, I. and Sezaki, Kaoru and Yasuda, Y.",https://doi.org/10.1109/GLOCOM.2002.1188447,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,PHANToM,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,Virtual object,The goal of this research is to clarify the quality of service requirement (network impairment) for a haptics collaboration system over the Internet.,Evaluation: system,Delay,Delay amounts,N/A,Usability,Constant,N/A,N/A,Within,15,15 participants paired with 1 experimenter,N/A,The experiment result indicates that the tradeoff between low network delay and little delayjitter is also true for haptics.,Delay,N/A,N/A,N/A,N/A,A perceptual study for compensation methods such as dead reckoning when facing network delay in CVE.,Techniques to overcome/compensate delay.
Collaborative haptic play with building blocks,2009,"Huang, Pingguo and Ishibashi, Yutaka and Fukushima, Norishige and Sugawara, Shinji",https://doi.org/10.1145/1690388.1690435,Synchronous,N/A,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,PHANToM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",The paper examines the influences of  network latency and packet loss on collaborative work which deals with multiple objects in a 3-D virtual space.,Study: latency,"Delay, Interaction technique",#NAME?,N/A,"Usability, Haptic experience",Constant,N/A,N/A,,10,20 participants paired together,N/A,"The paper found that the subjective rating of operatability decreased as the network delay increased. Co-manipulation received the best rating of operatability. However, these findings were descriptive without statistical models validating them.","Usability, Delay",N/A,N/A,N/A,N/A,The paper will investigate control methods to compensate/recover network delay,Techniques to overcome/compensate delay.
Effects of Haptic Data compression on user performance in Collaborative Haptic Virtual Environment,2014,"Huynh, Loi and Zadeh, Mehrdad",https://doi.org/10.1109/HAVE.2014.6954340,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Pointing,2,Pointer,PHANToM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object","The goal of this study is to measure the effects of the haptic compression methods, statistical or perceptual techniques to render haptic signals when data communication creates heavy traffic, on user performance and perception.",Evaluation: interaction technique,Haptic data compression,"1) position-based haptic data vs. position-force haptic data, 2) position-based haptic data with perceptual deadband, 3) position-based haptic data with perceptual deadband and perceptual extrapolation",Performance: Errors,Haptic experience,IV,N/A,N/A,,9,18 participants paired together,N/A,"First, we examined the effects of compression techniques PBHD and PFHD on user performance. It concludes that PBHD and PFHD do not have a significant difference in terms of user performance. Afterwards, the effects of PBHD perceptual deadbands on user performance were studied. According to the results, higher deadband values create more task errors in the CHVE. Finally, the results show that the effect of PE on user perception is positive. However, the task errors were increased.",Performance,"Finally, the results show that the effect of PE (position extrapolation) on user perception is positive. ",The proposed technique reduces the effect of delay.,"However, the task errors of PE method were increased.",The proposed technique increase error,"Future work will focus on various estimation techniques that increase the power of the haptic compression method for different scenarios in a CHVE. In addition, rotation capturing to support action like drilling or sculpting will be implemented later on.",Explore the proposed technique in different sceanrios.
Simultaneous remote haptic collaboration for assembling tasks,2007,"Iglesias, Rosa and Casado, Sara and Gutiérrez, Teresa and García‐Alonso, A. and Yu, Wai and Marshall, Alan",https://doi.org/10.1007/s00530-007-0108-7,Synchronous,Remote: different countries,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,PHANToM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,Virtual object,This paper proposes a collaborative virtual environment with haptic devices for assembly tasks.,Evaluation: system,Delay,Delay amounts,Performance: Errors,N/A,Constant,N/A,N/A,Within,5,10 participants paired together,N/A,The haptic feedback obtained during remote assemblies with dependent collisions can continue to improve the sense of co-presence between users with regard to only visual feedback.,Social presence,The system of this paper has an advantage in that it does not need to store and manage a history of movements.,The proposed technique improves haptic collaboration.,PHANToM Omni can be limited to display weights and collisions.,Limited haptic device,A future goal is to extend to more than 2 collaborators,Scale up the number of collaborators
HoloBots: Augmenting holographic telepresence with mobile robots for tangible remote collaboration in mixed reality,2023,"Ihara, Keiichi and Faridan, Mehrad and Ichikawa, Ayumi and Kawaguchi, Ikkaku and Suzuki, Ryo",https://doi.org/10.1145/3586183.3606727,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Shared workspace,AR,Performance,Optimizing,Notification,N/A (notification),Real body,Mobile robots (Sony Toio),Off-the-shelf,Mobile,Hand,Tactile,1,Touch,Asymmetric,Unilateral,User,"The paper introduces HoloBots, a mixed reality remote collaboration system that augments holographic telepresence with synchronized mobile robots",Evaluation: system,Feedback,#NAME?,N/A,"Social presence, Workload, Preference, Usability",IV,N/A,N/A,,12,12 participants paired with 1 experimenter,N/A,mobile robots improve the UX globally,Social presence,holobots significantly increases copresence and shared experience,The proposed system improves haptic collaboration.,"Scalability, user representation, robotic form factors",The proposed system cannot represent many users.,"Force Aggregation: Combining multiple robots within a single shell could aggerate their force, enabling the remote user to move heavier objects for object actuation or provide stronger haptic feedback for haptic communication.",Explore Different haptic interaction
Validation of a Human Cooperative Steering Behavior Model Based on Differential Games,2019,"Inga, Jairo and Flad, Michael and Hohmann, Sören",https://doi.org/10.1109/smc.2019.8914574,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,Steering wheel,Off-the-shelf,Grounded,Hand,Kinesthetic,1,Force,Symmetric,Bilateral,User,The paper evaluates two control models for a human cooperative steering task.,Evaluation: interaction technique,Interaction technique (Ownership),"Differential game (DG, minimizing their individual cost function), disturbance attenuation (DA, the control action of the cooperating partnet is assumed to be a known disturbance of the system)",Performance: Precision,N/A,Constant,The differential game (DG) model can approximate the steering angle and steering velocity trajectories better than the disturbance attenuation (DA) model.,The proposed interaction technique is better than the other approach.,,26,52 participants paired together,Yes,The results highlight the fact that the differential game model is able to describe cooperative behavior of all partners without the knowledge of the future behavior of one of them.,Usability,Brings theoretical knowledge showing that a DG model suits better to joint haptic driving,The proposed system improves haptic collaboration.,The measurement is computational demanding,Lack of measurement,We will investigate the use of faster measures for differential games and the inclusion of submodels of the neuromuscular system of humans.,Use more measurements.
Inter-stream synchronization between haptic media and voice in collaborative virtual environments,2004,"Ishibashi, Yutaka and Kanbara, T. and Tasaka, Shuji",https://doi.org/10.1145/1027527.1027670,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,PHANToM,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",The paper presents a synchronization algorithm for haptic media and voice in CVEs.,Evaluation: system,N/A,N/A,Performance: Errors,N/A,Constant,N/A,N/A,N/A,1,2 participants paired together,N/A,The algorithm can synchronize haptic and audio data.,Usability,N/A,N/A,N/A,N/A,"Subjective measure, different task, voice and video.","Explore different media, include subjective measure."
Haptic Assistance Improves Tele-Manipulation With Two Asymmetric Slaves,2019,J. van Oosterhout and C. J. M. Heemskerk and H. Boessenkool and M. R. de Baar and F. C. T. v. d. Helm and D. A. Abbink,https://doi.org/10.1109/TOH.2018.2873350,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,Haption Virtuose 6D,Off-the-shelf,Grounded,Hand,Kinesthetic,6,Force,Symmetric,Bilateral,"User, Virtual object",The paper aims to contribute to improving time-efficiency and safe handling for remote maintenance tasks that require two asymmetric robots controlled by either one user or two cooperators.,Study: collaborator,"Grouping, Feedback",#NAME?,"Performance: Time, Errors","Workload, Usability, User experience",IV,"H1. Assistance with a haptic link between subtasks improves task performance, requires less control activity and subjective workload, and increases acceptance and safety for both co-operated and uni-manual tasks. 
H2. For uni-manual operators, haptic assistance improves task performance up to, or even beyond, the performance of the co-operators.",Haptic assistance improve tele-manipulation performance.,,45,45 participants single or paired together,Yes,Haptic assistance improves task execution for co-operators and uni-manual operators.,Performance,"By haptically linking control actions through a joint task environment, this assistance system significantly improves task efficiency, reduces physical and mental workload, and enhances coordination, ultimately allowing a single operator to match the performance levels of a collaborative pair.",The proposed system improves haptic collaboration.,"In haptic assitance, merging of forces could be confusing and difficult to interpret for the operator",Participants need to learn haptic collaboration.,"Future research should explore how to adapt the support path towards two co-operating operators, identify which paradigms is more beneficial for asymmetric subtasks, identify the level of situation awareness and analyse the effect of interface design and haptic assistance on it, and include tasks with real slave hardware.",Adapt the haptic support based on more measurements.
Tele-Manipulation with Two Asymmetric Slaves: Two Operators Perform Better Than One,2018,J. van Oosterhout and C. J. M. Heemskerk and M. R. de Baar and F. C. T. van der Helm and D. A. Abbink,https://doi.org/10.1109/TOH.2017.2759108,Synchronous,Co-located,2,Asymmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,Haption Virtuose 6D,Off-the-shelf,Grounded,Hand,Kinesthetic ,6,Force,Asymmetric,Unilateral,"User, Environment","This experiment compares the standard approach of two co-operating operators that each control a single subtask, to a single operator performing bi-manual control over the two subtasks, and a uni-manual control approach.",Study: collaborator,"Grouping, Task",#NAME?,"Performance: Time, Score, Precision, Efficiency",Workload,Constant,"H1. Cooperators with reduced control > bi-manual
H2. Cooperators with reduced control < uni-manual",,,36,36 participants single or paired together,Semi,"When controlling two asymmetric slaves, a co-operating pair of operators performs better than a single operator.",Performance,not related to haptics : 2 user do better than 1,Cooperation is better than single user,"Expertise, learning or adapt during cooperation",Participants need to learn haptic collaboration.,Future research can study control behavior.,Explore new techniques for HC
Modeling the effects of delayed haptic and visual feedback in a collaborative virtual environment,2007,"Jay, Caroline and Glencross, Mashhuda and Hubbold, Roger",https://doi.org/10.1145/1275511.1275514,Synchronous,Co-located: separated by obstacles,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Pointing,3,Pointer,FCS HapticMASTERs,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,This paper investigates the effects of network communication-induced latency in haptic and visual feedback from remote participants.,Study: latency,Delay,"10 levels of latency were assessed in the experiment: 0, 25, 50, 75, 100, 150, 200, 250, 300, and 400 ms.","Performance: Time, Errors","Ease, User experience, Haptic experience",Constant,"The hypothesis was thus that all measures of performance, whether haptic or visual, initiating or maintaining contact, actual task performance or users’ questionnaire ratings, would increase in direct proportion to the amount of latency.",Delay descreases the performance of haptic collaboration,,15,30 participants paired together,Yes,"While questionnaire ratings and movement time increased from 50 ms latency in a linear manner, the rror percentage rose steeply from 25 ms but stagnated after 100 ms.",Performance,N/A,N/A,Haptic suffers from network delay more than visual ,Delay,Further work can examine the effects of the cross-modal interaction and the relationship between latency and task difficulty or type.,Explore other task under different delays
Assessment of Environmental Effects on Collaborative Haptic Guidance,2011,"Khademian, Behzad and Apkarian, Jacob and Hashtrudi-Zaad, Keyvan",https://doi.org/10.1162/PRES_a_00044,Synchronous,Co-located,2,Asymmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Steering,2,Pointer,Quanser Planar Twin Pantograph,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",This study investigates the effect of environmental factors (view points) on user performance,Study: viewpoint,"Environment appearance, Guidance",View point; Path guidance; Dominance factor (of trainer); Path appearance,"Performance: Time, Errors
Behavior: Force applied",N/A,Constant,"The environment factor and geometry have significant effects on the performane of haptic collaboration, and whether there is an interaction effect.",,,10,10 participants paired with 1 experimenter,Semi,"The environment geometry, tracing circle took longer and created more error compared to tracing square. Changing the environment viewpoint from top to fraont decreases task time in tracing square. Our experiments did not reveal any significant correlation between the dominance factor and the users’ tracking performance.",Performance,"Path appearance, Viewpoint, Force-feedback guidance from environment have an impact on performance, differently each. They interact somewhat",Haptic feedback improves collaborative performance and experiences,N/A,N/A,Future work can consider gradual attenuation of guidance forces.,Explore different guidance techniques
Performance Issues in Collaborative Haptic Training,2007,"Khademian, Behzad and Hashtrudi-Zaad, Keyvan",https://doi.org/10.1109/ROBOT.2007.363975,Synchronous,Co-located,2,Asymmetric,Workspace,Remote expert,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,Planar Twin Pantograph,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetric,Unilateral,User,"The paper presents a control model for direct interaction between a trainer and a trainee, as well as between the users and the virtual environment.",Study: learning,Guidance,The control of trainer over the trainee's movement,Performance: Errors,N/A,IV,N/A,N/A,,6,6 participants paired with 1 experimenter,N/A,"The results show that when the alpha (dominance factor from the trainer) decreases, the performance error increases during the path tracing task.",Performance,The paper argues the proposed control method can be used for surgical training.,Application,N/A,N/A,Future work will focus on the use of filters rather than scalar for the dominance factor and the implementation of other haptic control architectures.,Explore the dominance dynamic between collaborators
Transatlantic Touch: A Study of Haptic Collaboration over Long Distance,2004,"Kim, Jung and Kim, Hyun and Tay, Boon and Manivannan, M. and Srinivasan, Mandayam and Jordan, Joel and Mortensen, Jesper and Oliveira, Manuel and Slater, Mel",https://doi.org/10.1162/1054746041422370,Synchronous,Remote: different countries,2,Symmetric,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,PHANToM Desktop,Off-the-shelf,Grounded,Hand,Kinesthetic ,3,Force,Symmetric,Bilateral,"User, Virtual object",Experiment to evaluate the use of haptics in a collaborative situation over a network,Study: communication modalities,Feedback,#NAME?,Performance: Score,"Presence, Social presence",IV,N/A,N/A,Between,20,20 participants paired with 1 experimenter,N/A,Haptics improve collaborative interaction.,Social presence,Haptics is associated with an increase of the co-presence the use of direction probe reduces co-presence,Haptic feedback improves collaborative performance and experiences,Delay,Delay,Haptic interaction between humans and computers. A framework that guarantee stable connection in CVE with haptics.,Reduce delay
Collaborative Haptic Exploration of Dynamic Remote Environments,2018,"Kim, Seokyeol and Park, Jinah",https://doi.org/10.1109/MCG.2018.053491733,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Remote expert,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,Force Dimension omega.7,Off-the-shelf,Grounded,Hand,Kinesthetic,4,Force,Asymmetric,Unilateral,User,This paper implements a prototype that offers stable haptic interaction with real-world spatial data and impromptu guidance from a remote partner.,Evaluation: system,Feedback,"None, visual, haptic, visual+haptic","Performance: Time, Errors",User experience,IV,"H1. The proposed haptic guidance method increases the performance in remote exploration tasks than non-restrictive guidance.
H2. The proposed haptic guidance method increases the performance of remote exploration tasks when spatial information is visually limited or ambiguous than when it is visually clear.
H3. The proposed haptic guidance method increases the performance of remote exploration tasks when a target is moving than when it is static.",haptic guidance increase performance in target exploring tasks.,,17,17 participants paired with 1 experimenter,Yes,We found significant improvement of task performance both in the path-following and the wiping task when haptic guidance was provided.,"Performance, Haptic communication",Haptics can support when visual is missing.,Haptic feedback is an alternative communication when viusla is unavialable.,The prototype only provides single point contact.,The proptotype has limited haptic feedback,Combining multiple haptic feedback (force + thermal) or multi-touch.,Explore more diverse haptic feedback
QoE Assessment of Single-User Operation and Dual-User Operation in Remote Robot Systems with Force Feedback,2023,L. N. Gassama and Y. Ishibashi and P. Huang,https://doi.org/10.1109/ICCC59590.2023.10507618,Synchronous,Co-located,2,Symmetric,Object,Telepresence,Screen (RE),Performance,Optimizing,Manipulating object,3,No visual representation,3D Systems Touch,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",Is co controling a robot is more efficient subjectively and objectively for teleoperation task. What is the impact of teleoperation delay on this,Study: collaborator,"Grouping, Delay",#NAME?,N/A,Preference,Constant,N/A,N/A,Within,30,30 participants paired with 1 experimenter,N/A,"As the network delay becomes larger, the dual-user operation is more largely superior to the single-user operation.","Delay, Performance","If one person is delayed, the cooperatiive model still allows the control of the second collaborator.",Cooperation is better than single user,Requires a lots of hardware,Deployment is difficult,Investigate objective measures,Use more measurements.
Towards bare-hand interaction for whiteboard collaboration in virtual reality,2025,"Liu, Guangtian and Su, Haonan and Wang, Jingyu and Qi, Qi and Sun, Haifeng and Zhuang, Zirui and Ren, Pengfei and Liao, Jianxin",https://doi.org/10.1145/3711092,Synchronous,Remote: different rooms,2,Asymmetric,Workspace,Telepresence,VR,Performance,Optimizing,Mid-air gesture,N/A (mid-air gesture),Avatar,Physical whiteboard,Customized,Prop,Hand,Passive,0,Touch,Symmetric,No communication,Prop,The paper evaluates whether physical white board interaction can improve the efficiency of remote collaboration.,Evaluation: interaction technique,Interaction technique,Different whiteboard interaction techniques,Performance: Time,"Workload, Usability",IV,N/A,N/A,,16,32 participants paired together,N/A,Our user study indicates that Physical-writing achieves comparable performance to traditional whiteboard collaboration in terms of collaboration efficiency and outperforms Air-writing in terms of input accuracy and usability.,"Performance, Usability",Lower workload,Haptic feedback improves collaborative performance and experiences,Air writing may introduce fatigue. Size of the board can be limited,Fatigue,N/A,N/A
"Networked multiplayer cooperative interaction using decoupled motion control method in a shared virtual environment with haptic, visual and movement feedback",2012,"Liu, Guanyang and Lu, Keke",https://doi.org/10.1002/cav.1475,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,Phantom desktop and Omega,Off-the-shelf,Grounded,Hand,Kinesthetic ,3,Force,Symmetric,Bilateral,"User, Virtual object",Can the motion of an avatar be decoupled with respect to a virtual environment coordinate system where one user independently controls one-dimensional movement of the avatar along one coordinate axis?,Evaluation: interaction technique,Feedback,#NAME?,"Performance: Time, Score, Errors",Social presence,IV,N/A,N/A,,5,10 participants paired together,N/A,"Experimental results validate that movement (force) feedback is critical for users to successfully complete the task, without which it is nearly impossible for them to have good performances","Force feedback, Performance",V+H+M is better than other conditions in terms of performance and overall for co-presence,Haptic feedback improves collaborative performance and experiences,"Delay, requires compenstation methods",Delay,Extending to more complex 3D tasks.,Explore more complex tasks
